Model Name,Model Year,Mile/Galon,Exterior Color,Interior Color,Drivetrain,Fuel Type,Transmission,Engine Type,Price
3 Long Range,2018,48947,Obsidian Black Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB1JF182325,33918
S Base,2022,17037,Black,–,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E54NF472923,69877
Y Long Range,2020,26623,Deep Blue Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJYGDEE9LF046359,41990
S 90D,2016,56430,White,Gray,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E45GF120363,ot Priced
S Plaid,2021,9090,Red Multi,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E64MF439217,86200
Y Performance,2022,13200,Blue,Black,All-wheel Drive,1-Speed Automatic,Electric,7SAYGDEF4NF551739,49000
3 Performance,2020,31955,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EC9LF586274,35805
S Long Range,2021,29920,Midnight Silver Metallic,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJSA1E29MF425052,59977
X Long Range,2020,15594,Gray,Cream,AWD,1-Speed Automatic,Electric,5YJXCDE25LF298963,61961
X 75D,2016,17321,Black,Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE21GF008860,45500
X 100D,2018,37262,White,White,All-wheel Drive,1-Speed Automatic,Electric,5YJXCAE2XJF101393,49949
3 Long Range,2022,9111,Black,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJ3E1EB5NF192880,39939
X Performance,2019,14395,Red Multi,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCBE44KF189981,63963
X Long Range,2021,51727,Silver,White / Black,All-wheel Drive,1-Speed Automatic,Electric,5YJXCDE26MF323466,55955
